"2024-12-21 10:29:05: 1, 5.57, 18.14, 12.6, 21.12.24, 2024-12-21 10:24:14"
"2024-12-21 10:29:32: ('2', 5.64, 18.13, 10.9, '21.12.24', '2024-12-21 10:24:14')"
"2024-12-21 10:30:06: ('3', 5.6, 18.31, 10.7, '21.12.24', '2024-12-21 10:24:14')"
"2024-12-21 10:30:36: ('4', 5.49, 18.43, 7.7, '21.12.24', '2024-12-21 10:24:14')"
2024-12-21 11:20:15: 1, 5.6, 18.12, 13.1, 21.12.24, 2024-12-21 11:18:20
2024-12-21 11:20:45: ('2', 5.58, 18.21, 11.8, '21.12.24', '2024-12-21 11:18:20')
2024-12-21 11:21:17: ('3', 5.66, 18.18, 13.2, '21.12.24', '2024-12-21 11:18:20')
2024-12-21 11:21:49: ('4', 5.59, 18.28, 11.8, '21.12.24', '2024-12-21 11:18:20')
2024-12-21 11:22:21: ('5', 5.52, 18.1, 12.4, '21.12.24', '2024-12-21 11:18:20')
2024-12-21 11:22:53: ('6', 5.63, 18.24, 11.5, '21.12.24', '2024-12-21 11:18:20')
2024-12-21 11:23:25: ('7', 5.61, 18.19, 11.9, '21.12.24', '2024-12-21 11:18:20')
2024-12-21 11:23:56: ('8', 5.55, 18.18, 11.7, '21.12.24', '2024-12-21 11:18:20')
2024-12-21 11:24:28: ('9', 5.92, 18.18, 11.8, '21.12.24', '2024-12-21 11:18:20')
2024-12-21 11:25:00: ('10', 5.51, 18.21, 11.3, '21.12.24', '2024-12-21 11:18:20')
