2024-12-21 13:42:06,006 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:42:05
2024-12-21 13:42:08,329 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:42:05
2024-12-21 13:48:19,903 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:48:19
2024-12-21 13:48:22,268 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:48:19
2024-12-21 13:52:45,221 [ERROR] Serial exception: ClearCommError failed (PermissionError(13, 'The device does not recognize the command.', None, 22))
2024-12-21 13:52:50,564 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:52:57,450 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:48:19
2024-12-21 13:52:59,631 [ERROR] Serial exception: ClearCommError failed (PermissionError(13, 'The device does not recognize the command.', None, 22))
2024-12-21 13:53:05,582 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:48:19
2024-12-21 13:54:41,364 [ERROR] Serial exception: ClearCommError failed (PermissionError(13, 'The device does not recognize the command.', None, 22))
2024-12-21 13:54:46,501 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:54:51,645 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:54:56,709 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:55:04,324 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:48:19
2024-12-21 13:55:25,176 [ERROR] Serial exception: ClearCommError failed (PermissionError(13, 'The device does not recognize the command.', None, 22))
2024-12-21 13:55:30,388 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:55:35,560 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:55:40,639 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:55:45,702 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:55:50,768 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:55:55,826 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:00,910 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:05,978 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:11,051 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:16,107 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:21,173 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:26,267 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:31,343 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:36,419 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:41,468 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 13:56:47,047 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:48:19
2024-12-21 13:59:46,625 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:59:46
2024-12-21 13:59:49,134 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:59:46
2024-12-21 14:01:51,541 [ERROR] Serial exception: ClearCommError failed (PermissionError(13, 'The device does not recognize the command.', None, 22))
2024-12-21 14:01:56,736 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-12-21 14:02:05,139 [INFO] Serial connection established on COM11 with baudrate 9600 at 2024-12-21 13:59:46
